date,country,operator,ac_type,all_aboard,PASAJEROS A BORDO,crew_aboard,cantidad de fallecidos,passenger_fatalities,crew_fatalities,ground
1947-01-03 00:00:00,Brazil,Panair do Brasil,Sikorsky S-43B (flying boat),14.0,11.0,3.0,11.0,8.0,3.0,0.0
1947-01-05 00:00:00,China,China National Aviation Corporation,Curtis C-46,43.0,38.0,5.0,43.0,38.0,5.0,0.0
1947-01-05 20:00:00,New Jersey,Nationwide Air Transport,Douglas DC-3,23.0,20.0,3.0,3.0,2.0,1.0,0.0
1947-01-11 17:30:00,England,British Overseas Airways,Douglas C-47A-1-DK,16.0,11.0,5.0,8.0,4.0,4.0,0.0
1947-01-11 00:00:00,China,Far Eastern Air Transport,Douglas DC-4 (C-54A-DO),42.0,37.0,5.0,7.0,7.0,0.0,0.0
1947-01-12 01:38:00,Virginia,Eastern Air Lines,Douglas DC-3,19.0,16.0,3.0,18.0,15.0,3.0,0.0
1947-01-14 09:00:00,Mexico,Mexican Air Force,Lockheed C-60 Lodestar,21.0,17.0,4.0,21.0,17.0,4.0,0.0
1947-01-22 00:00:00,Colombia,AVIANCA,Douglas DC-3 ( C-47-DO),17.0,13.0,4.0,17.0,13.0,4.0,0.0
1947-01-25 11:40:00,England,Spencer Airways / Ceskoslovenske Aerolinie,Douglas C-47 / Douglas DC-3,23.0,18.0,5.0,12.0,11.0,1.0,0.0
1947-01-25 14:00:00,China,China National Aviation Corporation,Douglas DC-3,19.0,16.0,3.0,19.0,16.0,3.0,0.0
1947-01-25 00:00:00,Hong Kong,Philippine Air Lines,Douglas C-47A,4.0,0.0,4.0,4.0,0.0,4.0,0.0
1947-01-26 15:30:00,Denmark,KLM Royal Dutch Airlines,Douglas C- C47A-30DK,22.0,18.0,4.0,22.0,18.0,4.0,0.0
1947-01-28 12:00:00,China,China National Aviation Corporation,Curtiss C-46,26.0,24.0,2.0,25.0,23.0,2.0,0.0
1947-02-01 18:45:00,Portugal,Air France,Douglas DC-3C,20.0,15.0,5.0,19.0,14.0,5.0,0.0
1947-02-05 00:00:00,Delaware,International Air Freight,Douglas DC-3,3.0,0.0,3.0,1.0,0.0,1.0,0.0
1947-02-06 17:00:00,Spain,Aerovias Cuba International,Douglas C-54B-15-DO,11.0,8.0,3.0,10.0,8.0,2.0,0.0
1947-02-14 04:20:00,Colorado,Slick Airways,Curtiss C-46E,2.0,0.0,2.0,2.0,0.0,2.0,0.0
1947-02-15 12:18:00,Colombia,AVIANCA,Douglas DC-4,53.0,49.0,4.0,53.0,49.0,4.0,0.0
1947-02-15 09:30:00,Italy,Corrieri Aerei Militari,Savoia-Marchetti SM-95,16.0,10.0,6.0,16.0,10.0,6.0,0.0
1947-02-21 16:00:00,China,Chinese Air Force,Douglas C-47,21.0,17.0,4.0,21.0,17.0,4.0,0.0
1947-02-26 00:00:00,Pacific Ocean,Royal Air Force,Douglas C-47B,12.0,9.0,3.0,12.0,9.0,3.0,0.0
1947-03-05 09:53:00,USSR,Aeroflot,Doublas C-47,23.0,19.0,4.0,23.0,19.0,4.0,0.0
1947-03-08 00:00:00,Italy,Royal Air Force,Douglas C-47B,13.0,10.0,3.0,13.0,10.0,3.0,0.0
1947-03-08 14:59:00,Colombia,VIARCO,Douglas C-47-DL,9.0,5.0,4.0,9.0,5.0,4.0,0.0
1947-03-14 15:30:00,France,Air France,Douglas DC-3 (C-47A-90-DL),23.0,18.0,5.0,23.0,18.0,5.0,0.0
1947-03-17 08:05:00,Colombia,TACA,Lockheed 18 Lodestar,8.0,5.0,3.0,8.0,5.0,3.0,0.0
1947-03-18 00:00:00,Sri Lanka,Royal Air Force,Avro York C1,15.0,9.0,6.0,11.0,7.0,4.0,0.0
1947-04-08 10:30:00,Venezuela,Linea Aeropostal Venezolana,Douglas C-47A,27.0,24.0,3.0,27.0,24.0,3.0,0.0
1947-04-13 02:40:00,Senegal,British South American Airways,Avro 685 York I,15.0,9.0,6.0,6.0,6.0,0.0,0.0
1947-04-22 10:40:00,Georgia,Delta Air Lines,Douglas DC-3 (C-47DL) /Vultee BT-13,10.0,8.0,2.0,10.0,8.0,2.0,0.0
1947-04-28 23:13:00,Canada,Trans Canada Air Lines,Lockheed 18 Loadstar,15.0,12.0,3.0,15.0,12.0,3.0,0.0
1947-05-04 00:00:00,Costa Rica,TACA,Lockheed 18 Loadstar,11.0,9.0,2.0,11.0,9.0,2.0,0.0
1947-05-11 09:39:00,New Jersey,Trans Continental and Western Air,Lockheed L-049 Constellation,4.0,0.0,4.0,4.0,0.0,4.0,0.0
1947-05-16 16:25:00,Russia,Aeroflot,Douglas DC-47,22.0,17.0,5.0,22.0,17.0,5.0,0.0
1947-05-29 19:05:00,New York,United Air Lines,Douglas C-54B,48.0,44.0,4.0,43.0,41.0,2.0,0.0
1947-05-29 22:45:00,Japan,U.S. Army Air Forces,Douglas C-54D-DC (DC-4),40.0,33.0,7.0,40.0,33.0,7.0,0.0
